model,uf,target_week,target_week_end,information_cutoff_date,issued_at_utc,sivep_snapshot_date,source_snapshot_lag_days,search_prediction,partial_reported,completeness_fraction,calibration_partial,calibration_final,calibration_start,calibration_end,completion_prediction,prediction,lower80,upper80,status,actual,resolved_at_snapshot
combined,AC,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,1.000000,,,,,,,30.073000,23.075000,41.648000,pending,,
combined,AL,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,1.000000,,,,,,,23.898000,15.729000,39.804000,pending,,
combined,AM,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,9.000000,,,,,,,63.757000,47.804000,93.025000,pending,,
combined,AP,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,2.000000,,,,,,,32.588000,22.344000,49.892000,pending,,
combined,BA,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,10.000000,,,,,,,191.549000,128.429000,279.950000,pending,,
combined,BR,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,274.000000,,,,,,,3653.728000,3028.589000,4415.308000,pending,,
combined,CE,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,10.000000,,,,,,,114.631000,87.407000,163.330000,pending,,
combined,DF,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,3.000000,,,,,,,114.939000,86.807000,167.672000,pending,,
combined,ES,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,1.000000,,,,,,,48.508000,25.844000,86.588000,pending,,
combined,GO,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,11.000000,,,,,,,109.746000,80.584000,183.732000,pending,,
combined,MA,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,0.000000,,,,,,,33.538000,16.028000,66.880000,pending,,
combined,MG,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,24.000000,,,,,,,435.707000,322.072000,715.524000,pending,,
combined,MS,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,8.000000,,,,,,,116.791000,68.125000,190.991000,pending,,
combined,MT,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,2.000000,,,,,,,41.310000,33.340000,70.218000,pending,,
combined,PA,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,1.000000,,,,,,,64.607000,41.039000,112.230000,pending,,
combined,PB,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,17.000000,,,,,,,93.849000,69.588000,154.477000,pending,,
combined,PE,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,8.000000,,,,,,,85.620000,47.473000,145.398000,pending,,
combined,PI,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,1.000000,,,,,,,17.304000,9.912000,27.244000,pending,,
combined,PR,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,35.000000,,,,,,,348.588000,264.763000,487.059000,pending,,
combined,RJ,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,9.000000,,,,,,,215.736000,163.806000,348.006000,pending,,
combined,RN,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,0.000000,,,,,,,29.652000,14.547000,48.206000,pending,,
combined,RO,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,0.000000,,,,,,,13.985000,1.638000,31.800000,pending,,
combined,RR,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,5.000000,,,,,,,38.303000,28.028000,54.137000,pending,,
combined,RS,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,34.000000,,,,,,,326.879000,206.879000,459.624000,pending,,
combined,SC,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,26.000000,,,,,,,192.875000,109.350000,272.256000,pending,,
combined,SE,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,4.000000,,,,,,,61.654000,46.845000,82.538000,pending,,
combined,SP,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,50.000000,,,,,,,751.307000,570.071000,1020.397000,pending,,
combined,TO,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,2.000000,,,,,,,7.335000,3.101000,12.621000,pending,,
ensemble,AC,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,1.000000,,,,,,,32.146000,24.903000,46.087000,pending,,
ensemble,AL,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,1.000000,,,,,,,25.795000,15.328000,49.448000,pending,,
ensemble,AM,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,9.000000,,,,,,,71.514000,65.196000,106.386000,pending,,
ensemble,AP,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,2.000000,,,,,,,33.177000,22.724000,55.226000,pending,,
ensemble,BA,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,10.000000,,,,,,,239.098000,188.945000,303.999000,pending,,
ensemble,BR,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,274.000000,,,,,,,3899.456000,2804.772000,4711.259000,pending,,
ensemble,CE,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,10.000000,,,,,,,128.262000,102.858000,184.284000,pending,,
ensemble,DF,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,3.000000,,,,,,,129.879000,97.726000,191.455000,pending,,
ensemble,ES,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,1.000000,,,,,,,63.015000,28.680000,102.178000,pending,,
ensemble,GO,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,11.000000,,,,,,,131.491000,107.402000,218.785000,pending,,
ensemble,MA,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,0.000000,,,,,,,39.075000,13.108000,87.557000,pending,,
ensemble,MG,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,24.000000,,,,,,,436.415000,275.418000,926.399000,pending,,
ensemble,MS,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,8.000000,,,,,,,127.581000,49.095000,235.745000,pending,,
ensemble,MT,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,2.000000,,,,,,,39.620000,34.231000,88.831000,pending,,
ensemble,PA,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,1.000000,,,,,,,79.214000,67.042000,134.584000,pending,,
ensemble,PB,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,17.000000,,,,,,,110.698000,95.392000,183.816000,pending,,
ensemble,PE,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,8.000000,,,,,,,116.241000,79.812000,163.420000,pending,,
ensemble,PI,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,1.000000,,,,,,,19.608000,14.320000,28.640000,pending,,
ensemble,PR,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,35.000000,,,,,,,362.176000,228.079000,568.556000,pending,,
ensemble,RJ,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,9.000000,,,,,,,239.472000,165.729000,423.023000,pending,,
ensemble,RN,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,0.000000,,,,,,,41.305000,30.895000,52.248000,pending,,
ensemble,RO,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,0.000000,,,,,,,18.969000,0.000000,41.432000,pending,,
ensemble,RR,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,5.000000,,,,,,,31.605000,26.338000,49.344000,pending,,
ensemble,RS,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,34.000000,,,,,,,267.757000,180.762000,515.128000,pending,,
ensemble,SC,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,26.000000,,,,,,,172.751000,86.039000,324.829000,pending,,
ensemble,SE,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,4.000000,,,,,,,62.309000,44.495000,88.453000,pending,,
ensemble,SP,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,50.000000,,,,,,,871.613000,632.701000,1108.004000,pending,,
ensemble,TO,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,2.000000,,,,,,,8.670000,1.922000,14.334000,pending,,
infogripe,AC,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,10.000000,,,,,,,28.000000,22.000000,36.000000,pending,,
infogripe,AL,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,7.000000,,,,,,,22.000000,16.000000,29.000000,pending,,
infogripe,AM,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,14.000000,,,,,,,56.000000,44.000000,70.000000,pending,,
infogripe,AP,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,9.000000,,,,,,,32.000000,22.000000,45.000000,pending,,
infogripe,BA,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,23.000000,,,,,,,144.000000,121.000000,171.000000,pending,,
infogripe,BR,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,775.000000,,,,,,,3408.000000,3131.000000,3721.000000,pending,,
infogripe,CE,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,34.000000,,,,,,,101.000000,82.000000,127.000000,pending,,
infogripe,DF,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,25.000000,,,,,,,100.000000,83.000000,122.000000,pending,,
infogripe,ES,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,3.000000,,,,,,,34.000000,25.000000,46.000000,pending,,
infogripe,GO,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,34.000000,,,,,,,88.000000,77.000000,102.000000,pending,,
infogripe,MA,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,1.000000,,,,,,,28.000000,18.000000,42.000000,pending,,
infogripe,MG,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,53.000000,,,,,,,435.000000,383.000000,499.000000,pending,,
infogripe,MS,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,25.000000,,,,,,,106.000000,89.000000,126.000000,pending,,
infogripe,MT,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,8.000000,,,,,,,43.000000,32.000000,58.000000,pending,,
infogripe,PA,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,5.000000,,,,,,,50.000000,37.000000,64.000000,pending,,
infogripe,PB,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,33.000000,,,,,,,77.000000,66.000000,93.000000,pending,,
infogripe,PE,2026-08-16,2026-08-22,2026-08-22,2026-09-01T22:39:17+00:00,2026-08-24,2,,16.000000,,,,,,,55.000000,44.000000,67.000000,pending,,
